Mod:Item:MetaData, Localized Name
minecraft:stone, 石头
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:flowing_water, 水
minecraft:water, 水
minecraft:flowing_lava, 岩浆
minecraft:lava, 岩浆
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge, 海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 沙石
minecraft:sandstone:1, 錾制沙石
minecraft:sandstone:2, 平滑沙石
minecraft:noteblock, 音符盒
DragonAPI:minecraft:bed_technical, 床
minecraft:golden_rail, 推进轨道
minecraft:detector_rail, 感应轨道
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
DragonAPI:minecraft:piston_head_technical, 未命名方块,请报告给作者.
minecraft:wool:0, 羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罂粟
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 沙石台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:fire, 火
minecraft:mob_spawner:0, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 箱子
DragonAPI:minecraft:redstone_wire_technical, 红石粉
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
DragonAPI:minecraft:wheat_technical, 农作物
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:lit_furnace, 熔炉
DragonAPI:minecraft:standing_sign_technical, 告示牌
DragonAPI:minecraft:wooden_door_technical, 木门
minecraft:ladder, 梯子
minecraft:rail, 轨道
minecraft:stone_stairs, 石楼梯
DragonAPI:minecraft:wall_sign_technical, 告示牌
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 压力板
DragonAPI:minecraft:iron_door_technical, 铁门
minecraft:wooden_pressure_plate, 压力板
minecraft:redstone_ore, 红石矿石
DragonAPI:minecraft:lit_redstone_ore_technical, 红石矿石
DragonAPI:minecraft:unlit_redstone_torch_technical, 红石火把
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer:0, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
DragonAPI:minecraft:reeds_technical, 甘蔗
minecraft:jukebox, 唱片机
minecraft:fence, 栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 萤石
minecraft:portal, 传送门
minecraft:lit_pumpkin, 南瓜灯
DragonAPI:minecraft:cake_technical, 蛋糕
DragonAPI:minecraft:unpowered_repeater_technical, tile.diode.name
DragonAPI:minecraft:powered_repeater_technical, tile.diode.name
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
DragonAPI:minecraft:pumpkin_stem_technical, tile.pumpkinStem.name
DragonAPI:minecraft:melon_stem_technical, tile.pumpkinStem.name
minecraft:vine, 藤蔓
minecraft:fence_gate, 栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖块
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
DragonAPI:minecraft:nether_wart_technical, 地狱疣
minecraft:enchanting_table, 附魔台
DragonAPI:minecraft:brewing_stand_technical, tile.brewingStand.name
DragonAPI:minecraft:cauldron_technical, 炼药锅
minecraft:end_portal, 未命名方块,请报告给作者.
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
DragonAPI:minecraft:lit_redstone_lamp_technical, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:cocoa, 可可果
minecraft:sandstone_stairs, 沙石楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
DragonAPI:minecraft:tripwire_technical, 绊线
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
DragonAPI:minecraft:flower_pot_technical, tile.flowerPot.name
minecraft:carrots, 胡萝卜
minecraft:potatoes, 马铃薯
minecraft:wooden_button, 按钮
DragonAPI:minecraft:skull_technical, tile.skull.name
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate, 测重压力板 (重质)
DragonAPI:minecraft:unpowered_comparator_technical, tile.comparator.name
DragonAPI:minecraft:powered_comparator_technical, tile.comparator.name
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活轨道
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色染色粘土
minecraft:stained_hardened_clay:1, 橙色染色粘土
minecraft:stained_hardened_clay:2, 品红色染色粘土
minecraft:stained_hardened_clay:3, 淡蓝色染色粘土
minecraft:stained_hardened_clay:4, 黄色染色粘土
minecraft:stained_hardened_clay:5, 黄绿色染色粘土
minecraft:stained_hardened_clay:6, 粉色染色粘土
minecraft:stained_hardened_clay:7, 灰色染色粘土
minecraft:stained_hardened_clay:8, 淡灰色染色粘土
minecraft:stained_hardened_clay:9, 青色染色粘土
minecraft:stained_hardened_clay:10, 紫色染色粘土
minecraft:stained_hardened_clay:11, 蓝色染色粘土
minecraft:stained_hardened_clay:12, 棕色染色粘土
minecraft:stained_hardened_clay:13, 绿色染色粘土
minecraft:stained_hardened_clay:14, 红色染色粘土
minecraft:stained_hardened_clay:15, 黑色染色粘土
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
backpacks16840:backpack_block, Backpack
backpacks16840:backpack_block164, tile.backpack_block164.name
backpacks16840:quantum_chest, Quantum Chest
backpacks16840:quantum_chest164, Quantum Chest (Imported from 1.6.4)
appliedenergistics2:tile.OreQuartz, 赛特斯石英矿石
minecraft:hay_block, 干草块
minecraft:carpet:0, 地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 硬化粘土
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
appliedenergistics2:tile.OreQuartzCharged, 充能赛特斯石英矿石
appliedenergistics2:tile.BlockMatrixFrame, 矩阵框架
appliedenergistics2:tile.BlockQuartz, 赛特斯石英块
appliedenergistics2:tile.BlockQuartzPillar, 赛特斯竖纹石英块
appliedenergistics2:tile.BlockQuartzChiseled, 錾制赛特斯石英块
appliedenergistics2:tile.BlockQuartzGlass, 石英玻璃
appliedenergistics2:tile.BlockQuartzLamp, 聚能石英玻璃
appliedenergistics2:tile.BlockQuartzTorch, 充能石英火把
appliedenergistics2:tile.BlockFluix, 福鲁伊克斯块
appliedenergistics2:tile.BlockSkyStone:0, 陨石
appliedenergistics2:tile.BlockSkyStone:1, 陨石块
appliedenergistics2:tile.BlockSkyStone:2, 陨石石砖
appliedenergistics2:tile.BlockSkyStone:3, 陨石砖块
appliedenergistics2:tile.BlockSkyChest:0, 陨石箱子
appliedenergistics2:tile.BlockSkyChest:1, 陨石块箱子
appliedenergistics2:tile.BlockSkyCompass, 陨石罗盘
appliedenergistics2:tile.BlockGrinder, 石英磨具
appliedenergistics2:tile.BlockCrank, 木质曲柄
appliedenergistics2:tile.BlockInscriber, 压印器
appliedenergistics2:tile.BlockWireless, ME无线访问点
appliedenergistics2:tile.BlockCharger, 充能器
appliedenergistics2:tile.BlockTinyTNT, 迷你TNT
appliedenergistics2:tile.BlockSecurity, ME安全终端
appliedenergistics2:tile.BlockQuantumRing, ME量子环
appliedenergistics2:tile.BlockQuantumLinkChamber, ME量子链接仓
appliedenergistics2:tile.BlockSpatialPylon, 空间塔
appliedenergistics2:tile.BlockSpatialIOPort, 空间IO端口
appliedenergistics2:tile.BlockCableBus, AE2线缆和(或)总线
appliedenergistics2:tile.BlockController, ME控制器
appliedenergistics2:tile.BlockDrive, ME驱动器
appliedenergistics2:tile.BlockChest, ME箱子
appliedenergistics2:tile.BlockInterface, ME接口
appliedenergistics2:tile.BlockCellWorkbench, 元件工作台
appliedenergistics2:tile.BlockIOPort, ME-IO端口
appliedenergistics2:tile.BlockCondenser, 物质聚合器
appliedenergistics2:tile.BlockEnergyAcceptor, 能源接收器
appliedenergistics2:tile.BlockVibrationChamber, 谐振仓
appliedenergistics2:tile.BlockQuartzGrowthAccelerator, 晶体催生器
appliedenergistics2:tile.BlockEnergyCell, 能源元件
appliedenergistics2:tile.BlockDenseEnergyCell, 致密能源元件
appliedenergistics2:tile.BlockCreativeEnergyCell, 创造能源元件
appliedenergistics2:tile.BlockCraftingUnit:0, 合成单元
appliedenergistics2:tile.BlockCraftingUnit:1, 并行处理单元
appliedenergistics2:tile.BlockCraftingStorage:0, 1k合成存储器
appliedenergistics2:tile.BlockCraftingStorage:1, 4k合成存储器
appliedenergistics2:tile.BlockCraftingStorage:2, 16k合成存储器
appliedenergistics2:tile.BlockCraftingStorage:3, 64k合成存储器
appliedenergistics2:tile.BlockCraftingMonitor:0, 合成监控器
appliedenergistics2:tile.BlockMolecularAssembler, 分子装配室
appliedenergistics2:tile.BlockLightDetector, 光亮探测器
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, 陨石楼梯
appliedenergistics2:tile.SkyStoneBlockStairBlock, 陨石块楼梯
appliedenergistics2:tile.SkyStoneBrickStairBlock, 陨石石砖楼梯
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, 陨石砖块楼梯
appliedenergistics2:tile.FluixStairBlock, 福鲁伊克斯楼梯
appliedenergistics2:tile.QuartzStairBlock, 赛特斯石英楼梯
appliedenergistics2:tile.ChiseledQuartzStairBlock, 錾制赛特斯石英楼梯
appliedenergistics2:tile.QuartzPillarStairBlock, 竖纹赛特斯石英楼梯
appliedenergistics2:tile.SkyStoneSlabBlock:0, 陨石台阶
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, 陨石台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, 陨石块台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, 陨石块台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, 陨石石砖台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, 陨石石砖台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, 陨石砖块台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, 陨石砖块台阶
appliedenergistics2:tile.FluixSlabBlock:0, 福鲁伊克斯台阶
appliedenergistics2:tile.FluixSlabBlock.double:0, 福鲁伊克斯台阶
appliedenergistics2:tile.QuartzSlabBlock:0, 赛特斯石英台阶
appliedenergistics2:tile.QuartzSlabBlock.double:0, 赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, 錾制赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, 錾制赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock:0, 竖纹赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, 竖纹赛特斯石英台阶
ae2stuff:Encoder, 样板编码台
ae2stuff:Grower, 晶体催生仓
ae2stuff:Inscriber, 高级压印器
ae2stuff:Wireless, 无线接入器 
BuildCraft|Core:eternalSpring:0, 水泉
BuildCraft|Core:eternalSpring:1, 油泉
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, 红石引擎
BuildCraft|Core:engineBlock:1, 斯特林引擎
BuildCraft|Core:engineBlock:2, 燃油引擎
BuildCraft|Core:engineBlock:3, 创造引擎
BuildCraft|Core:markerBlock, 地标
BuildCraft|Core:pathMarkerBlock, 路径标
Thaumcraft:blockFluxGoo:0, 咒波粘浆
Thaumcraft:blockFluxGas:0, 咒波瓦斯
Thaumcraft:blockFluidPure, 净化之水
Thaumcraft:blockFluidDeath, 死亡之水  
minecraft:iron_shovel, 铁锹
minecraft:iron_pickaxe, 铁镐
minecraft:iron_axe, 铁斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 苹果
minecraft:bow, 弓
minecraft:arrow, 箭
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 钻石
minecraft:iron_ingot, 铁锭
minecraft:gold_ingot, 金锭
minecraft:iron_sword, 铁剑
minecraft:wooden_sword, 木剑
minecraft:wooden_shovel, 木锹
minecraft:wooden_pickaxe, 木镐
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石剑
minecraft:stone_shovel, 石锹
minecraft:stone_pickaxe, 石镐
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 钻石剑
minecraft:diamond_shovel, 钻石锹
minecraft:diamond_pickaxe, 钻石镐
minecraft:diamond_axe, 钻石斧
minecraft:stick, 木棍
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇煲
minecraft:golden_sword, 金剑
minecraft:golden_shovel, 金锹
minecraft:golden_pickaxe, 金镐
minecraft:golden_axe, 金斧
minecraft:string, 线
minecraft:feather, 羽毛
minecraft:gunpowder, 火药
minecraft:wooden_hoe, 木锄
minecraft:stone_hoe, 石锄
minecraft:iron_hoe, 铁锄
minecraft:diamond_hoe, 钻石锄
minecraft:golden_hoe, 金锄
minecraft:wheat_seeds, 小麦种子
minecraft:wheat, 小麦
minecraft:bread, 面包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革外套
minecraft:leather_leggings, 皮革裤子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 锁链头盔
minecraft:chainmail_chestplate, 锁链胸甲
minecraft:chainmail_leggings, 锁链护腿
minecraft:chainmail_boots, 锁链靴子
minecraft:iron_helmet, 铁头盔
minecraft:iron_chestplate, 铁胸甲
minecraft:iron_leggings, 铁护腿
minecraft:iron_boots, 铁靴子
minecraft:diamond_helmet, 钻石头盔
minecraft:diamond_chestplate, 钻石胸甲
minecraft:diamond_leggings, 钻石护腿
minecraft:diamond_boots, 钻石靴子
minecraft:golden_helmet, 金头盔
minecraft:golden_chestplate, 金胸甲
minecraft:golden_leggings, 金护腿
minecraft:golden_boots, 金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生猪排
minecraft:cooked_porkchop, 熟猪排
minecraft:painting, 画
minecraft:golden_apple:0, 金苹果
minecraft:golden_apple:1, 金苹果
minecraft:sign, 告示牌
